Nº do cliente;Safra;Estado;Renda Mensal;Endividamento;Quantidade de Cheques sem Fundo;Quantidade de Restritivos;Valor dos Restritivos;Quantidade de Protestos;Valor dos Protestos;Modelo Score 1;Modelo Score 2;Modelo Score 3;Modelo Score 4;Performance 30D3M EVER;Performance 60D6M EVER;Performance 60D9M EVER;Performance 90D9M EVER;Performance 90D12M EVER
969082547;2020-05-01 00:00:00 UTC;BA;1228;Acima de 100%;0;2;12113;0;0;193;243;321;716;BOM;MAU;MAU;MAU;MAU
625277846;2020-06-01 00:00:00 UTC;RS;3492;Até 25%;0;0;0;0;0;636;672;645;733;BOM;BOM;BOM;BOM;BOM
580825591;2020-05-01 00:00:00 UTC;RS;1309;Até 25%;0;0;0;0;0;688;609;654;650;MAU;BOM;BOM;BOM;BOM
498984727;2020-09-01 00:00:00 UTC;MG;3169;Até 25%;0;0;0;0;0;689;616;426;738;BOM;BOM;MAU;BOM;
1181235501;2020-07-01 00:00:00 UTC;MS;4404;Até 25%;0;0;0;0;0;868;667;790;733;BOM;BOM;BOM;BOM;
11471366;2020-07-01 00:00:00 UTC;PR;2393;Até 25%;0;0;0;0;0;373;643;408;708;MAU;MAU;MAU;MAU;
520053878;2020-06-01 00:00:00 UTC;MS;1203;Até 25%;0;0;0;0;0;521;636;445;740;BOM;BOM;BOM;BOM;BOM
786767408;2020-08-01 00:00:00 UTC;RS;4277;Até 25%;0;0;0;0;0;404;604;435;659;BOM;BOM;BOM;BOM;
719906345;2020-10-01 00:00:00 UTC;TO;4664;Até 25%;0;1;64;0;0;220;219;321;663;BOM;MAU;;;
925848162;2020-10-01 00:00:00 UTC;BA;3367;Até 25%;0;0;0;0;0;639;633;605;765;BOM;BOM;;;
373787691;2020-06-01 00:00:00 UTC;RS;3366;Até 25%;0;0;0;0;0;575;678;719;673;BOM;BOM;BOM;BOM;BOM
754737427;2020-05-01 00:00:00 UTC;SC;1409;Acima de 100%;0;2;1108;0;0;2;221;156;580;MAU;MAU;MAU;BOM;BOM
559878227;2020-05-01 00:00:00 UTC;GO;1254;76 a 100%;0;2;570;0;0;2;243;188;563;BOM;MAU;MAU;MAU;MAU
558660357;2020-07-01 00:00:00 UTC;TO;4291;Até 25%;0;0;0;0;0;808;687;696;879;BOM;BOM;BOM;BOM;
369768720;2020-06-01 00:00:00 UTC;SC;1159;Até 25%;0;0;0;0;0;350;573;360;606;BOM;BOM;BOM;BOM;BOM
1132033553;2020-09-01 00:00:00 UTC;RJ;2518;26 a 50%;0;1;452;1;4283;211;236;243;676;BOM;BOM;BOM;BOM;
934373252;2020-10-01 00:00:00 UTC;TO;3368;Até 25%;0;0;0;0;0;551;680;613;837;BOM;BOM;;;
1056038465;2020-09-01 00:00:00 UTC;PR;1261;Até 25%;0;0;0;1;3490;236;632;551;647;BOM;BOM;BOM;BOM;
663031816;2020-10-01 00:00:00 UTC;BA;2518;51 a 75%;1;2;910;0;0;70;213;243;657;BOM;BOM;;;
562679328;2020-07-01 00:00:00 UTC;SP;1250;Até 25%;0;0;0;0;0;487;653;662;758;BOM;BOM;BOM;BOM;
237386251;2020-10-01 00:00:00 UTC;RS;4534;Acima de 100%;7;3;3830;1;283;220;113;290;676;BOM;BOM;;;
963723919;2020-06-01 00:00:00 UTC;BA;1195;Até 25%;0;3;419;0;0;332;251;337;746;BOM;BOM;BOM;BOM;BOM
219483562;2020-05-01 00:00:00 UTC;TO;1045;Até 25%;0;0;0;0;0;473;680;1;1;BOM;BOM;BOM;BOM;BOM
624790698;2020-08-01 00:00:00 UTC;TO;3366;Até 25%;0;0;0;0;0;537;678;719;737;BOM;BOM;BOM;BOM;
975415471;2020-10-01 00:00:00 UTC;RS;4404;Até 25%;0;1;294;0;0;218;164;274;652;BOM;BOM;;;
735738655;2020-07-01 00:00:00 UTC;SC;1145;Até 25%;0;0;0;0;0;625;659;411;750;BOM;BOM;BOM;BOM;
824156017;2020-08-01 00:00:00 UTC;BA;1444;Até 25%;0;0;0;0;0;640;663;739;804;BOM;BOM;BOM;BOM;
391446806;2020-08-01 00:00:00 UTC;BA;3365;26 a 50%;0;-1;0;1;1054;277;255;305;716;BOM;BOM;BOM;BOM;
421406408;2020-10-01 00:00:00 UTC;MG;1182;Até 25%;0;0;0;0;0;822;683;741;831;BOM;BOM;;;
1040693303;2020-10-01 00:00:00 UTC;MS;1463;Até 25%;0;0;0;0;0;604;645;647;694;BOM;BOM;;;
733790063;2020-06-01 00:00:00 UTC;PR;3366;Até 25%;0;0;0;0;0;814;691;789;837;BOM;BOM;BOM;BOM;BOM
260282207;2020-06-01 00:00:00 UTC;MS;1409;Até 25%;0;0;0;1;417;268;700;701;744;BOM;BOM;BOM;BOM;BOM
264910113;2020-09-01 00:00:00 UTC;RS;4282;Até 25%;0;0;0;0;0;701;665;768;794;BOM;BOM;BOM;BOM;
594831096;2020-09-01 00:00:00 UTC;RS;3781;Até 25%;0;0;0;1;477;311;663;775;711;BOM;BOM;BOM;BOM;
930354281;2020-05-01 00:00:00 UTC;SC;4278;Até 25%;0;0;0;0;0;748;693;822;818;BOM;BOM;BOM;BOM;BOM
1062493176;2020-07-01 00:00:00 UTC;GO;1263;Até 25%;0;0;0;0;0;788;677;801;837;BOM;BOM;BOM;BOM;
